VIN_BIAS,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.6170000000000004,2.0,5.914451420038345e-05,0.6170000000000004,0.7687907118803715,0.5031578072566094,0.1319753845222723,0.0004405148572826012,2.581737490981585e-05,7.448110425852239,17.06272844630366,38733.60492664948,0.6368153273580992
0.6180000000000004,2.0,5.95272567236777e-05,0.6180000000000004,0.7666473537740205,0.503185595070503,0.1324062886074964,0.0004418378762337082,2.601294702669666e-05,7.422446721137042,16.9853064237688,38442.39558761707,0.6342410651665241
0.6190000000000004,2.0,5.991076955400375e-05,0.6190000000000004,0.7644996819483373,0.5032134503005805,0.1328375658272169,0.0004431533172480728,2.620976564615991e-05,7.396889332116099,16.90794657345595,38153.71772110881,0.6316621161211204
0.6200000000000004,2.0,6.029504230328632e-05,0.6200000000000004,0.7623477545765477,0.5032413722657778,0.1332692117133181,0.0004444611282990391,2.640784043162985e-05,7.371437616765989,16.8306503309028,37867.54174727046,0.6290785428632296
0.6210000000000004,2.0,6.068006453767497e-05,0.6210000000000004,0.7601916300882068,0.5032693602806425,0.1337012218179376,0.0004457612581553497,2.660718117671718e-05,7.346090942554616,16.75341913127635,37583.83848925183,0.6264904082702691
0.6220000000000004,2.0,6.106582577840112e-05,0.6220000000000004,0.7580313671644282,0.5032974136553768,0.1341335917137134,0.0004470536563815388,2.680779780781171e-05,7.320848686209071,16.67625440875523,37302.57916629776,0.6238977754507148
0.6230000000000004,2.0,6.145231550262375e-05,0.6230000000000004,0.7558670247331102,0.5033255316958893,0.1345663169940239,0.0004483382733379614,2.700970038673507e-05,7.295710233487076,16.59915759591869,37023.73538697665,0.6213007077390863
0.6240000000000004,2.0,6.18395231442788e-05,0.6240000000000004,0.7536986619642212,0.5033537137038396,0.1349993932732253,0.0004496150601805171,2.721289911345792e-05,7.270674978951091,16.5221301231431,36747.27914253936,0.6186992686909959
0.6250000000000004,2.0,6.222743809491676e-05,0.6250000000000004,0.7515263382650686,0.5033819589766878,0.1354328161868841,0.0004508839688600218,2.741740432888086e-05,7.24574232574605,16.44517341800555,36473.18280040912,0.6160935220781846
0.6260000000000004,2.0,6.261604970454014e-05,0.6260000000000004,0.7493501132756408,0.5034102668077431,0.1358665813920047,0.0004521449521212713,2.76232265176821e-05,7.220911685379997,16.36828890469568,36201.41909779738,0.6134835318836361
